ROI,Subject,Effect, LocalizerSize,EffectSize
1,313_VWFA_03_sess2_PL2017,S, 37,0.616910
1,313_VWFA_03_sess2_PL2017,N, 37,-0.054918
1,313_VWFA_03_sess2_PL2017,T, 37,-0.514733
1,314_VWFA_13_sess2_PL2017,S, 37,0.174343
1,314_VWFA_13_sess2_PL2017,N, 37,0.237432
1,314_VWFA_13_sess2_PL2017,T, 37,-0.060157
1,315_VWFA_17_sess2_PL2017,S, 37,-0.106317
1,315_VWFA_17_sess2_PL2017,N, 37,0.239992
1,315_VWFA_17_sess2_PL2017,T, 37,0.389749
2,313_VWFA_03_sess2_PL2017,S, 74,0.025295
2,313_VWFA_03_sess2_PL2017,N, 74,-0.176958
2,313_VWFA_03_sess2_PL2017,T, 74,-0.188774
2,314_VWFA_13_sess2_PL2017,S, 74,0.001271
2,314_VWFA_13_sess2_PL2017,N, 74,-0.123720
2,314_VWFA_13_sess2_PL2017,T, 74,-0.168069
2,315_VWFA_17_sess2_PL2017,S, 74,0.296900
2,315_VWFA_17_sess2_PL2017,N, 74,0.474330
2,315_VWFA_17_sess2_PL2017,T, 74,0.514394
3,313_VWFA_03_sess2_PL2017,S, 46,-0.169056
3,313_VWFA_03_sess2_PL2017,N, 46,-0.124952
3,313_VWFA_03_sess2_PL2017,T, 46,-0.107128
3,314_VWFA_13_sess2_PL2017,S, 46,1.052478
3,314_VWFA_13_sess2_PL2017,N, 46,0.332850
3,314_VWFA_13_sess2_PL2017,T, 46,0.493052
3,315_VWFA_17_sess2_PL2017,S, 46,0.322800
3,315_VWFA_17_sess2_PL2017,N, 46,0.171314
3,315_VWFA_17_sess2_PL2017,T, 46,-0.130667
4,313_VWFA_03_sess2_PL2017,S, 162,0.957203
4,313_VWFA_03_sess2_PL2017,N, 162,0.127846
4,313_VWFA_03_sess2_PL2017,T, 162,-0.200691
4,314_VWFA_13_sess2_PL2017,S, 162,0.765516
4,314_VWFA_13_sess2_PL2017,N, 162,0.018662
4,314_VWFA_13_sess2_PL2017,T, 162,-0.282342
4,315_VWFA_17_sess2_PL2017,S, 162,1.156698
4,315_VWFA_17_sess2_PL2017,N, 162,0.148027
4,315_VWFA_17_sess2_PL2017,T, 162,-0.091817
5,313_VWFA_03_sess2_PL2017,S, 294,0.258039
5,313_VWFA_03_sess2_PL2017,N, 294,-0.146892
5,313_VWFA_03_sess2_PL2017,T, 294,-0.268461
5,314_VWFA_13_sess2_PL2017,S, 294,2.660289
5,314_VWFA_13_sess2_PL2017,N, 294,0.785431
5,314_VWFA_13_sess2_PL2017,T, 294,0.161545
5,315_VWFA_17_sess2_PL2017,S, 294,0.438267
5,315_VWFA_17_sess2_PL2017,N, 294,0.051096
5,315_VWFA_17_sess2_PL2017,T, 294,-0.368108
6,313_VWFA_03_sess2_PL2017,S, 64,-1.298791
6,313_VWFA_03_sess2_PL2017,N, 64,-1.512221
6,313_VWFA_03_sess2_PL2017,T, 64,-1.174120
6,314_VWFA_13_sess2_PL2017,S, 64,1.599337
6,314_VWFA_13_sess2_PL2017,N, 64,-0.903580
6,314_VWFA_13_sess2_PL2017,T, 64,-0.270103
6,315_VWFA_17_sess2_PL2017,S, 64,0.781476
6,315_VWFA_17_sess2_PL2017,N, 64,-0.471286
6,315_VWFA_17_sess2_PL2017,T, 64,-0.243390
7,313_VWFA_03_sess2_PL2017,S, 37,0.037454
7,313_VWFA_03_sess2_PL2017,N, 37,-0.320459
7,313_VWFA_03_sess2_PL2017,T, 37,-0.403670
7,314_VWFA_13_sess2_PL2017,S, 37,-0.179385
7,314_VWFA_13_sess2_PL2017,N, 37,0.182466
7,314_VWFA_13_sess2_PL2017,T, 37,0.068441
7,315_VWFA_17_sess2_PL2017,S, 37,-0.042548
7,315_VWFA_17_sess2_PL2017,N, 37,0.242763
7,315_VWFA_17_sess2_PL2017,T, 37,0.451523
8,313_VWFA_03_sess2_PL2017,S, 74,-0.232452
8,313_VWFA_03_sess2_PL2017,N, 74,0.083423
8,313_VWFA_03_sess2_PL2017,T, 74,0.340999
8,314_VWFA_13_sess2_PL2017,S, 74,0.141563
8,314_VWFA_13_sess2_PL2017,N, 74,0.526071
8,314_VWFA_13_sess2_PL2017,T, 74,0.317748
8,315_VWFA_17_sess2_PL2017,S, 74,-0.435997
8,315_VWFA_17_sess2_PL2017,N, 74,-0.848281
8,315_VWFA_17_sess2_PL2017,T, 74,-0.088854
9,313_VWFA_03_sess2_PL2017,S, 46,-0.432415
9,313_VWFA_03_sess2_PL2017,N, 46,-0.018245
9,313_VWFA_03_sess2_PL2017,T, 46,-0.066925
9,314_VWFA_13_sess2_PL2017,S, 46,0.295168
9,314_VWFA_13_sess2_PL2017,N, 46,0.198317
9,314_VWFA_13_sess2_PL2017,T, 46,0.001348
9,315_VWFA_17_sess2_PL2017,S, 46,0.340556
9,315_VWFA_17_sess2_PL2017,N, 46,0.566565
9,315_VWFA_17_sess2_PL2017,T, 46,0.353701
10,313_VWFA_03_sess2_PL2017,S, 162,0.741736
10,313_VWFA_03_sess2_PL2017,N, 162,0.397577
10,313_VWFA_03_sess2_PL2017,T, 162,-0.003711
10,314_VWFA_13_sess2_PL2017,S, 162,1.230494
10,314_VWFA_13_sess2_PL2017,N, 162,0.784901
10,314_VWFA_13_sess2_PL2017,T, 162,0.103354
10,315_VWFA_17_sess2_PL2017,S, 162,0.538076
10,315_VWFA_17_sess2_PL2017,N, 162,-0.198286
10,315_VWFA_17_sess2_PL2017,T, 162,-0.358098
11,313_VWFA_03_sess2_PL2017,S, 294,0.326662
11,313_VWFA_03_sess2_PL2017,N, 294,0.278936
11,313_VWFA_03_sess2_PL2017,T, 294,-0.057320
11,314_VWFA_13_sess2_PL2017,S, 294,1.138978
11,314_VWFA_13_sess2_PL2017,N, 294,0.436384
11,314_VWFA_13_sess2_PL2017,T, 294,0.383666
11,315_VWFA_17_sess2_PL2017,S, 294,0.372471
11,315_VWFA_17_sess2_PL2017,N, 294,-0.185476
11,315_VWFA_17_sess2_PL2017,T, 294,-0.207661
12,313_VWFA_03_sess2_PL2017,S, 64,-0.866060
12,313_VWFA_03_sess2_PL2017,N, 64,-1.009434
12,313_VWFA_03_sess2_PL2017,T, 64,-0.790540
12,314_VWFA_13_sess2_PL2017,S, 64,0.167650
12,314_VWFA_13_sess2_PL2017,N, 64,-0.543474
12,314_VWFA_13_sess2_PL2017,T, 64,-0.189747
12,315_VWFA_17_sess2_PL2017,S, 64,0.040489
12,315_VWFA_17_sess2_PL2017,N, 64,-0.884048
12,315_VWFA_17_sess2_PL2017,T, 64,-0.689959
