ROI,Subject,Session/Partition,LocalizerSize
1,313_VWFA_03_sess2_PL2017,1,37
1,313_VWFA_03_sess2_PL2017,2,37
1,313_VWFA_03_sess2_PL2017,3,37
1,313_VWFA_03_sess2_PL2017,4,37
1,314_VWFA_13_sess2_PL2017,1,37
1,314_VWFA_13_sess2_PL2017,2,37
1,314_VWFA_13_sess2_PL2017,3,37
1,314_VWFA_13_sess2_PL2017,4,37
1,315_VWFA_17_sess2_PL2017,1,37
1,315_VWFA_17_sess2_PL2017,2,37
1,315_VWFA_17_sess2_PL2017,3,37
2,313_VWFA_03_sess2_PL2017,1,74
2,313_VWFA_03_sess2_PL2017,2,74
2,313_VWFA_03_sess2_PL2017,3,74
2,313_VWFA_03_sess2_PL2017,4,74
2,314_VWFA_13_sess2_PL2017,1,74
2,314_VWFA_13_sess2_PL2017,2,74
2,314_VWFA_13_sess2_PL2017,3,74
2,314_VWFA_13_sess2_PL2017,4,74
2,315_VWFA_17_sess2_PL2017,1,74
2,315_VWFA_17_sess2_PL2017,2,74
2,315_VWFA_17_sess2_PL2017,3,74
3,313_VWFA_03_sess2_PL2017,1,46
3,313_VWFA_03_sess2_PL2017,2,46
3,313_VWFA_03_sess2_PL2017,3,46
3,313_VWFA_03_sess2_PL2017,4,46
3,314_VWFA_13_sess2_PL2017,1,46
3,314_VWFA_13_sess2_PL2017,2,46
3,314_VWFA_13_sess2_PL2017,3,46
3,314_VWFA_13_sess2_PL2017,4,46
3,315_VWFA_17_sess2_PL2017,1,46
3,315_VWFA_17_sess2_PL2017,2,46
3,315_VWFA_17_sess2_PL2017,3,46
4,313_VWFA_03_sess2_PL2017,1,162
4,313_VWFA_03_sess2_PL2017,2,162
4,313_VWFA_03_sess2_PL2017,3,162
4,313_VWFA_03_sess2_PL2017,4,162
4,314_VWFA_13_sess2_PL2017,1,162
4,314_VWFA_13_sess2_PL2017,2,162
4,314_VWFA_13_sess2_PL2017,3,162
4,314_VWFA_13_sess2_PL2017,4,162
4,315_VWFA_17_sess2_PL2017,1,162
4,315_VWFA_17_sess2_PL2017,2,162
4,315_VWFA_17_sess2_PL2017,3,162
5,313_VWFA_03_sess2_PL2017,1,294
5,313_VWFA_03_sess2_PL2017,2,294
5,313_VWFA_03_sess2_PL2017,3,294
5,313_VWFA_03_sess2_PL2017,4,294
5,314_VWFA_13_sess2_PL2017,1,294
5,314_VWFA_13_sess2_PL2017,2,294
5,314_VWFA_13_sess2_PL2017,3,294
5,314_VWFA_13_sess2_PL2017,4,294
5,315_VWFA_17_sess2_PL2017,1,294
5,315_VWFA_17_sess2_PL2017,2,294
5,315_VWFA_17_sess2_PL2017,3,294
6,313_VWFA_03_sess2_PL2017,1,64
6,313_VWFA_03_sess2_PL2017,2,64
6,313_VWFA_03_sess2_PL2017,3,64
6,313_VWFA_03_sess2_PL2017,4,64
6,314_VWFA_13_sess2_PL2017,1,64
6,314_VWFA_13_sess2_PL2017,2,64
6,314_VWFA_13_sess2_PL2017,3,64
6,314_VWFA_13_sess2_PL2017,4,64
6,315_VWFA_17_sess2_PL2017,1,64
6,315_VWFA_17_sess2_PL2017,2,64
6,315_VWFA_17_sess2_PL2017,3,64
7,313_VWFA_03_sess2_PL2017,1,37
7,313_VWFA_03_sess2_PL2017,2,37
7,313_VWFA_03_sess2_PL2017,3,37
7,313_VWFA_03_sess2_PL2017,4,37
7,314_VWFA_13_sess2_PL2017,1,37
7,314_VWFA_13_sess2_PL2017,2,37
7,314_VWFA_13_sess2_PL2017,3,37
7,314_VWFA_13_sess2_PL2017,4,37
7,315_VWFA_17_sess2_PL2017,1,37
7,315_VWFA_17_sess2_PL2017,2,37
7,315_VWFA_17_sess2_PL2017,3,37
8,313_VWFA_03_sess2_PL2017,1,74
8,313_VWFA_03_sess2_PL2017,2,74
8,313_VWFA_03_sess2_PL2017,3,74
8,313_VWFA_03_sess2_PL2017,4,74
8,314_VWFA_13_sess2_PL2017,1,74
8,314_VWFA_13_sess2_PL2017,2,74
8,314_VWFA_13_sess2_PL2017,3,74
8,314_VWFA_13_sess2_PL2017,4,74
8,315_VWFA_17_sess2_PL2017,1,74
8,315_VWFA_17_sess2_PL2017,2,74
8,315_VWFA_17_sess2_PL2017,3,74
9,313_VWFA_03_sess2_PL2017,1,46
9,313_VWFA_03_sess2_PL2017,2,46
9,313_VWFA_03_sess2_PL2017,3,46
9,313_VWFA_03_sess2_PL2017,4,46
9,314_VWFA_13_sess2_PL2017,1,46
9,314_VWFA_13_sess2_PL2017,2,46
9,314_VWFA_13_sess2_PL2017,3,46
9,314_VWFA_13_sess2_PL2017,4,46
9,315_VWFA_17_sess2_PL2017,1,46
9,315_VWFA_17_sess2_PL2017,2,46
9,315_VWFA_17_sess2_PL2017,3,46
10,313_VWFA_03_sess2_PL2017,1,162
10,313_VWFA_03_sess2_PL2017,2,162
10,313_VWFA_03_sess2_PL2017,3,162
10,313_VWFA_03_sess2_PL2017,4,162
10,314_VWFA_13_sess2_PL2017,1,162
10,314_VWFA_13_sess2_PL2017,2,162
10,314_VWFA_13_sess2_PL2017,3,162
10,314_VWFA_13_sess2_PL2017,4,162
10,315_VWFA_17_sess2_PL2017,1,162
10,315_VWFA_17_sess2_PL2017,2,162
10,315_VWFA_17_sess2_PL2017,3,162
11,313_VWFA_03_sess2_PL2017,1,294
11,313_VWFA_03_sess2_PL2017,2,294
11,313_VWFA_03_sess2_PL2017,3,294
11,313_VWFA_03_sess2_PL2017,4,294
11,314_VWFA_13_sess2_PL2017,1,294
11,314_VWFA_13_sess2_PL2017,2,294
11,314_VWFA_13_sess2_PL2017,3,294
11,314_VWFA_13_sess2_PL2017,4,294
11,315_VWFA_17_sess2_PL2017,1,294
11,315_VWFA_17_sess2_PL2017,2,294
11,315_VWFA_17_sess2_PL2017,3,294
12,313_VWFA_03_sess2_PL2017,1,64
12,313_VWFA_03_sess2_PL2017,2,64
12,313_VWFA_03_sess2_PL2017,3,64
12,313_VWFA_03_sess2_PL2017,4,64
12,314_VWFA_13_sess2_PL2017,1,64
12,314_VWFA_13_sess2_PL2017,2,64
12,314_VWFA_13_sess2_PL2017,3,64
12,314_VWFA_13_sess2_PL2017,4,64
12,315_VWFA_17_sess2_PL2017,1,64
12,315_VWFA_17_sess2_PL2017,2,64
12,315_VWFA_17_sess2_PL2017,3,64
